"word";"wordtype";"L";"varianten";"context";"english";"spanish"
"a";"par";2;;"el a bai ";"particle of time: past perfect";"partícula de tiempo: pasado perfecto"
"anochi";"sus";2;;;"night";"noche"
"aros";"sus";2;;;"rice";"arroz"
"atardi";"atv";2;;;"afternoon";"tarde"
"ayera";"atv";2;;;"yesterday";"ayer"
"bakoba";"sus";2;;;"banana";"banano/a"
"bar";"sus";2;;;"bar";"bar"
"bèrdè";"ath";2;;;"green";"verde"
"bibida";"sus";2;;;"drink/beverage";"bebida"
"biña";"sus";2;;;"wine";"vino"
"biña blanku";"sus";2;;;"white wine";"vino blanco"
"biña kòrá";"sus";2;;;"red wine";"vino tinto"
"blanku";"ath";2;;;"white";"blanco"
"bolo di chukulati";"sus";2;;;"chocalate cake";"torta de chocolate"
"bolo di fruta";"sus";2;;;"fruitcake";"torta de frutas"
"bolo di manteka";"sus";2;;;"butter cake";"torta de mantequilla"
"bon ";"ath";2;;"un bon kuminda; bon dia!; bon nochi! bon tardi!";"good";"bueno/a/buenos/as"
"bon ";"atv";2;;"Tur kos a sali bon";"well";"bien"
"bonchi kòrá";"sus";2;;;"red beans";"frijoles rojas/coloradas"
"boso";"pro p";2;"bosonan, bosnan";;"you";"ustedes"
"brùin";"ath";2;;"hende bruin; pan brùin";"brown";"marron"
"buskuchi";"sus";2;;;"crackers";"galleta (soda)"
"buskuchi dushi";"sus";2;;;"cooky";"galleta "
"chikitu";"ath";2;"chikí";;"small";"pequeño/a"
"dede";"sus";2;;;"finger";"dedo"
"di";"pre";2;;;"of";"de"
"djente";"sus";2;;;"tooth";"diente"
"djèt";"sus";2;;;"jet";"avión de reacción"
"djus di apel";"sus";2;;;"apple juice";"jugo de manzana"
"dùim";"sus";2;;;"thumb";"pulgar"
"drumi";"ver";2;;;"sleep";"dormir"
"duna";"ver";2;;;"to give";"dar"
"dushi";"ath";2;;"dushi hende; un mucha dushi";"sweet/delicious/nice/beautiful";"dulce/rico/agradable/guapo/a"
"friu";"ath";2;;;"cold";"frío"
"glas";"sus";2;;;"glass";"vaso"
"glas di biña";"sus";2;;;"wine glass";"copa de vino"
"glas di limonada";"sus";2;;;"glass of lemonade";"vaso de limonada"
"glas di serbes";"sus";2;;;"glass of beer";"vaso de cerveza"
"grandi";"ath";2;;;"big";"grande"
"gusta";"ver";2;;;"to like";"gustar"
"habon";"sus";2;;;"soap";"jabón"
"habon dushi";"sus";2;;;"bathsoap";"jabón para banarse"
"ham";"sus";2;;;"ham";"jamón"
"hel";"ath";2;;;"yellow";"amarillo"
"huntu";"atv";2;;"tur huntu ta dies dede";"together";"junto"
"i";"kon";2;;;"and";"y"
"kaha";"sus";2;;;"box";"caja"
"kashi";"sus";2;;;"closet";"armario"
"kayente";"ath";2;;;"warm/hot";"caliente"
"ke";"ver";2;"ker, kier, kièr";"dilanti partíkula 'a': mi ker a bai";"to want";"querer"
"keinta ";"ver";2;;"eks. keinta stoma";"to warm up";"calentar"
"kèlki";"sus";2;;;"cup";"copa"
"kèlki di biña";"sus";2;;;"winecup";"copa de vino"
"kèlki di zjampaña";"sus";2;;;"champagne cup";"copa de champán"
"kiko";"pro i";2;;;"what";"qué"
"koló";"sus";2;;;"colour";"color"
"kòmchi";"sus";2;;;"bowl";"tazón"
"kòmchi di sòpi";"sus";2;;;"soup bowl";"tazón de sopa"
