hèrmènt      ;5
balotá    ;5
triángulo  ;5
figura ;5
  instrumento;5
temperatura ;5
forsa ;5
thermometer;5
 sekònde;5
sèntimeter;5
elektrisidat  ;5
arma;5
waterpas;5
 laberinto  ;5
kueru;5
waya di koper;5
perdurá;3
brókoli;3
kònkòmber chikí;3
kashu sürnam;3
dreifi di laman;3
rèp;3
Riu Amazona;3
Promé dama;3
skol élite;3
pasteleria;3
Egipsionan;3
monasterio;3
fervientemente;3
maksimalmente;3
sobresalí;3
bebida;3
persuadí;3
papiro;3
deshidratá;3
fotovoltáiko;3
ekuashon di reakshon;11
energia di bientu;5
kombustibel fósil;5
plaka fotovoltáiko  ;5
plaka térmiko;5
chimuseiru;3
chimuseiru;3
pal'i lusafe;3
alimá;3
tam;3
belumbe;3
hidratá;3
turbina di gas;3
bida kolonial;3
semi-korchea;10
nota 32;10
puntia;10
kompas(muzik);10
strepi di kompas;10
signo di tempu;10
òpmat;10
ala breve;10
ala breve;10
hemiola;10
poliritmika;10
cinquillo;10
sorghum vugare;10
saya ku dèjki;10
yabi sòl;10
Yabi di fa;10
yabi di Do;10
semitono;10
signo kromatiko;10
;10
Natural;10
palu friu;10
hala na sota;10
patronchi ritmiko;10
charanga;10
Steelband;10
Surinameño;10
pro deo;10
Viola;10
sagrado;10
   muzik sekular ;10
klero;10
klero;10
      monofonia;10
polifonia;10
Madrigal;10
koral;10
saikedelik;10
interval;10
harmóniko;10
interval harmóniko;10
interval melódiko;10
eskala pentatonika;10
eskala kromátiko;10
eskala mayor;10
eskala menor;10
seyo;10
   sindikalismo;10
 asosashon;10
maninguete;10
ranka piesa;10
kai òrgel;10
tinguilinguibòks;10
ka'i músika;10
Oropa;10
dèmper;10
segregashon;10
poliritmo;10
montuno;10
kontradansa;10
Santeria;10
poliritmiko;10
sonero;10
soneo;10
areglo musikal;10
fusion musikal;10
simultaniamente;10
zonido generador;10
resonansha;10
bitonalidat;10
politonal;10
Dedokafonika;10
ornamentashon;10
orkesta sinfóniko;10
orkesta di kuèrdè;10
fanfare;10
griot;10
arte oral;10
arte di poesia;10
spirituals;10
motif;10
kanon;10
 tokadisko;10
notashon musikal;10
kaiketio;10
sòlfeo ritmiko;10
neumas;10
tetrakort;10
tetrakort mayor;10
tetrakort menor;10
eskala di tono kompleto;10
parsiales;10
triada;10
disminuida;10
aumentada;10
yoramenu di nota musikal;10
tereno di rekreo;6
sistema di riolering;6
mapa temátiko;6
mapa tipográfiko;6
tereno agrario;6
vosiferá;6
faktor di pusha;6
factor di pusha;6
pais di ekspulshon;6
pais di atrakshon;6
faktor di hala;6
faktor di atrakshon;6
migrashon interno;6
kasita di indjan;10
kosta di oro;6
kosta di Ivor;6
kosta di katibu;6
manumissie;6
nabegadó;10
kliko;6
re-usa;6
shushedat;6
bari'lechi;6
pèstu;6
shushi kímiko;6
rafinaderia;6
áwaseru ásido;6
kentamentu global;6
mùfler;6
rayonan ultravioleta;6
ozon;6
koldioksido;6
renobabel;6
multikultural;6
klase sosial;6
toksiko;6
supstansha;6
polistireno;6
selba;6
pal'i lechi;6
añoransa;6
hospedahe;6
akulturalismo;6
akulturalisashon;6
fleksibilisashon;6
agensia di empleo;6
masamedia;6
komunikashon direkto;6
komunikashon indirekto;6
proseso laboral;6
enseñansa obligatorio;6
kupo di trabou;6
libertat di opinion;6
libertat di prensa;6
sangriente;6
sensashonalismo;6
akontesimentunan;6
klùrpotlot;6
imágen propio;6
anoreksia;6
bulimia;6
nuansá;6
identidat seksual;6
pedahogiko;2
determinashon propio;2
prédisposishon;2
material génetiko;2
desaroyo síkiko;2
desaroyo sosial;2
konsultatieburo;2
enfermera di parto;2
asistènt di konsultatieburo;2
trabou sosial pedahogiko;2
enseñansa avansá;2
siensia natural;2
sintimentu seksual;2
fretumentu;2
preshon sosial;2
komportashon kriminal;2
madures físiko;2
madures sosial;2
madures mental;2
inkapasidat laboral;2
laso emoshonal;2
baha ku penshun;2
optishén;2
asistente di dentista;2
asistènt di botikario;2
servisio fasilitario;2
grupo di enfoke;2
fase prénatal;2
sosialmente ábil;2
integrativo;2
preferensha;2
wèbadrès;2
hinka den otro;2
hala rosea;2
servisio di sanidat;2
banko di sanger;2
anestesia;2
bai leu;2
narkósis;2
bou di narkósis;2
narkósis lokal;2
pùiter;2
klùiter;2
desaroyo motóriko;2
imáhen propio;2
mucha;2
resien nasí;2
wèrkstùk;2
skol avansá;2
kriminalidat chikí;2
kue djòp;2
penopousa;2
kore riesgo;2
muha mata;2
katern;2
estudio preparatorio;2
trabou doméstiko;2
transmural;2
pashènt sikiátriko;2
sterelisashon;2
wiri wiri;3
pinguino;3
chingeli;2
bòndr'i paña;3
kuido mántel;3
kuido básiko;2
kuido di prome liña;3
kuido di di dos liña;3
kuido di di tres liña;3
kuido semi-mural;2
kita skòt;2
kapa di ozon;2
polistreno;2
restu orgániko;2
bochornoso;4
yerb'e awa;4
rit;4
prokrea;4
ekskreshon;4
globulo;4
lupa;4
parasol di zumbi;4
marka di dede;4
dede indikador;4
giratorio;4
heplak;4
espasio intersèlular;4
muraya di sèl;4
membrana di sèl;4
grano di fèkula;4
nukleo di sèl;4
cytoplasma;4
vakuola;4
kèlki hel;4
azahar;4
blachi dede;4
sansiferia;4
multiselula;4
yerboso;4
uniselula;4
anomon;4
polip di awa dushi;4
wangi;4
strea di laman;4
bich'i sinta;4
bich'i tera;4
kròbòkròbo;4
almeha;4
bestia artropodo;4
lisinbein ;4
amfibia;4
bestia vertebrá;4
relahamentu;4
djòin di wesu;4
manteka di djòin;4
postura di kurpa;3
tehidi maradó;4
antagonista;4
kòmchi di djòin;4
kontushon;4
blat di skouder;4
pal'i brasa;4
doblabel;4
mineskùs;4
rudia ta lòk;4
brasa di tènis;4
wes'i wea di funchi;4
sobrekansansio;4
dopa kurpa;4
wes'i lomba;4
pal'i pia;4
sòbrepisa;4
sirkumferensha;4
trisèps;4
wesu ku nachi;4
wesu di toraks;4
rab'i kòmpi;4
sakro;4
vàskula di sanger;4
dióksido di karbon;4
sistema vaskular;4
plasma di sanger;4
deskuahabel;4
tubu di reakshon;4
hemoglobina;4
birament'i kabes;4
váskula kapilar;4
tròmbos;4
sanger abou;4
kombustion;4
ouríkolo;4
klèpnan medio luna;4
arteria korona;4
bena korona;4
spatardu;4
bena portal;4
platika di sanger;4
plachi di sanger;4
atrium;4
ventrikulo;4
prokreashon;4
flènge flènge;4
aksilar;4
tépel;4
parti intimo;4
relashon seksual;4
skrotum;4
glandula di hormonas;4
hipofise;4
blas di simia;4
tubu urinaria;4
sirkumsashon;4
kurpa di hincha;4
Pèkè pèkè;4
masturba;4
choka wancho;4
blas di urina;4
webu di sèl;4
ovulashon;4
ovidukto;4
útero;4
génotipo;4
fénotipo;4
kromosoma;4
envoltura;4
